Filename,Source,Type,FOV,Name
signal_ratios_slide9_FOV1.csv,BIDMC,signal_ratios,FOV1,BIDMC_9
dataScaleSize_slide10_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_10
dataScaleSize_slide11_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_11
dataScaleSize_slide12_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_12
dataScaleSize_slide13_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_13
dataScaleSize_slide14_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_14
dataScaleSize_slide15_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_15
dataScaleSize_slide16_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_16
dataScaleSize_slide17_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_17
dataScaleSize_slide18_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_18
dataScaleSize_slide19_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_19
dataScaleSize_slide1_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_1
dataScaleSize_slide20_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_20
dataScaleSize_slide21_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_21
dataScaleSize_slide22_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_22
dataScaleSize_slide23_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_23
dataScaleSize_slide24_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_24
dataScaleSize_slide2_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_2
dataScaleSize_slide3_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_3
dataScaleSize_slide4_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_4
dataScaleSize_slide5_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_5
dataScaleSize_slide6_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_6
dataScaleSize_slide7_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_7
dataScaleSize_slide8_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_8
dataScaleSize_slide9_FOV2.csv,BIDMC,dataScaleSize,FOV2,BIDMC_9
signal_ratios_slide10_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_10
signal_ratios_slide11_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_11
signal_ratios_slide12_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_12
signal_ratios_slide13_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_13
signal_ratios_slide14_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_14
signal_ratios_slide15_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_15
signal_ratios_slide16_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_16
signal_ratios_slide17_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_17
signal_ratios_slide18_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_18
signal_ratios_slide19_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_19
signal_ratios_slide1_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_1
signal_ratios_slide20_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_20
signal_ratios_slide21_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_21
signal_ratios_slide22_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_22
signal_ratios_slide23_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_23
signal_ratios_slide24_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_24
signal_ratios_slide2_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_2
signal_ratios_slide3_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_3
signal_ratios_slide4_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_4
signal_ratios_slide5_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_5
signal_ratios_slide6_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_6
signal_ratios_slide7_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_7
signal_ratios_slide8_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_8
signal_ratios_slide9_FOV2.csv,BIDMC,signal_ratios,FOV2,BIDMC_9
dataScaleSize_slide13_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_13
dataScaleSize_slide13_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_13
dataScaleSize_slide14_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_14
dataScaleSize_slide14_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_14
dataScaleSize_slide15_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_15
dataScaleSize_slide15_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_15
dataScaleSize_slide16_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_16
dataScaleSize_slide16_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_16
dataScaleSize_slide21_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_21
dataScaleSize_slide21_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_21
dataScaleSize_slide22_FOV1.csv,Stanford,dataScaleSize,FOV1,Stanford_22
dataScaleSize_slide22_FOV2.csv,Stanford,dataScaleSize,FOV2,Stanford_22
