"Source","Compare1","Compare2"
"BIDMC","BIDMC_Slide14","BIDMC_Slide18"
"BIDMC","BIDMC_Slide14","BIDMC_Slide19"
"BIDMC","BIDMC_Slide14","BIDMC_Slide1"
"BIDMC","BIDMC_Slide14","BIDMC_Slide20"
"BIDMC","BIDMC_Slide14","BIDMC_Slide21"
"BIDMC","BIDMC_Slide14","BIDMC_Slide22"
"BIDMC","BIDMC_Slide14","BIDMC_Slide23"
"BIDMC","BIDMC_Slide14","BIDMC_Slide24"
"BIDMC","BIDMC_Slide14","BIDMC_Slide2"
"BIDMC","BIDMC_Slide14","BIDMC_Slide3"
"BIDMC","BIDMC_Slide14","BIDMC_Slide4"
"BIDMC","BIDMC_Slide14","BIDMC_Slide5"
"BIDMC","BIDMC_Slide14","BIDMC_Slide6"
"BIDMC","BIDMC_Slide14","BIDMC_Slide7"
"BIDMC","BIDMC_Slide14","BIDMC_Slide8"
"BIDMC","BIDMC_Slide14","BIDMC_Slide9"
"BIDMC","BIDMC_Slide15","BIDMC_Slide16"
"BIDMC","BIDMC_Slide15","BIDMC_Slide17"
"BIDMC","BIDMC_Slide15","BIDMC_Slide18"
"BIDMC","BIDMC_Slide15","BIDMC_Slide19"
"BIDMC","BIDMC_Slide15","BIDMC_Slide1"
"BIDMC","BIDMC_Slide15","BIDMC_Slide20"
"BIDMC","BIDMC_Slide15","BIDMC_Slide21"
"BIDMC","BIDMC_Slide15","BIDMC_Slide22"
"BIDMC","BIDMC_Slide15","BIDMC_Slide23"
"BIDMC","BIDMC_Slide15","BIDMC_Slide24"
"BIDMC","BIDMC_Slide15","BIDMC_Slide2"
"BIDMC","BIDMC_Slide15","BIDMC_Slide3"
"BIDMC","BIDMC_Slide15","BIDMC_Slide4"
"BIDMC","BIDMC_Slide15","BIDMC_Slide5"
"BIDMC","BIDMC_Slide15","BIDMC_Slide6"
"BIDMC","BIDMC_Slide15","BIDMC_Slide7"
"BIDMC","BIDMC_Slide15","BIDMC_Slide8"
"BIDMC","BIDMC_Slide15","BIDMC_Slide9"
"BIDMC","BIDMC_Slide16","BIDMC_Slide17"
"BIDMC","BIDMC_Slide16","BIDMC_Slide18"
"BIDMC","BIDMC_Slide16","BIDMC_Slide19"
"BIDMC","BIDMC_Slide16","BIDMC_Slide1"
"BIDMC","BIDMC_Slide16","BIDMC_Slide20"
"BIDMC","BIDMC_Slide16","BIDMC_Slide21"
"BIDMC","BIDMC_Slide16","BIDMC_Slide22"
"BIDMC","BIDMC_Slide16","BIDMC_Slide23"
"BIDMC","BIDMC_Slide16","BIDMC_Slide24"
"BIDMC","BIDMC_Slide16","BIDMC_Slide2"
"BIDMC","BIDMC_Slide16","BIDMC_Slide3"
"BIDMC","BIDMC_Slide16","BIDMC_Slide4"
"BIDMC","BIDMC_Slide16","BIDMC_Slide5"
"BIDMC","BIDMC_Slide16","BIDMC_Slide6"
"BIDMC","BIDMC_Slide16","BIDMC_Slide7"
"BIDMC","BIDMC_Slide16","BIDMC_Slide8"
"BIDMC","BIDMC_Slide16","BIDMC_Slide9"
"BIDMC","BIDMC_Slide17","BIDMC_Slide18"
"BIDMC","BIDMC_Slide17","BIDMC_Slide19"
"BIDMC","BIDMC_Slide17","BIDMC_Slide1"
"BIDMC","BIDMC_Slide17","BIDMC_Slide20"
"BIDMC","BIDMC_Slide17","BIDMC_Slide21"
"BIDMC","BIDMC_Slide17","BIDMC_Slide22"
"BIDMC","BIDMC_Slide17","BIDMC_Slide23"
"BIDMC","BIDMC_Slide17","BIDMC_Slide24"
"BIDMC","BIDMC_Slide17","BIDMC_Slide2"
"BIDMC","BIDMC_Slide17","BIDMC_Slide3"
"BIDMC","BIDMC_Slide17","BIDMC_Slide4"
"BIDMC","BIDMC_Slide17","BIDMC_Slide5"
"BIDMC","BIDMC_Slide17","BIDMC_Slide6"
"BIDMC","BIDMC_Slide17","BIDMC_Slide7"
"BIDMC","BIDMC_Slide17","BIDMC_Slide8"
"BIDMC","BIDMC_Slide17","BIDMC_Slide9"
"BIDMC","BIDMC_Slide18","BIDMC_Slide19"
"BIDMC","BIDMC_Slide18","BIDMC_Slide1"
"BIDMC","BIDMC_Slide18","BIDMC_Slide20"
"BIDMC","BIDMC_Slide18","BIDMC_Slide21"
"BIDMC","BIDMC_Slide18","BIDMC_Slide22"
"BIDMC","BIDMC_Slide18","BIDMC_Slide23"
"BIDMC","BIDMC_Slide18","BIDMC_Slide24"
"BIDMC","BIDMC_Slide18","BIDMC_Slide2"
"BIDMC","BIDMC_Slide18","BIDMC_Slide3"
"BIDMC","BIDMC_Slide18","BIDMC_Slide4"
"BIDMC","BIDMC_Slide18","BIDMC_Slide5"
"BIDMC","BIDMC_Slide18","BIDMC_Slide6"
"BIDMC","BIDMC_Slide18","BIDMC_Slide7"
"BIDMC","BIDMC_Slide18","BIDMC_Slide8"
"BIDMC","BIDMC_Slide18","BIDMC_Slide9"
"BIDMC","BIDMC_Slide19","BIDMC_Slide1"
"BIDMC","BIDMC_Slide19","BIDMC_Slide20"
"BIDMC","BIDMC_Slide19","BIDMC_Slide21"
"BIDMC","BIDMC_Slide19","BIDMC_Slide22"
"BIDMC","BIDMC_Slide19","BIDMC_Slide23"
"BIDMC","BIDMC_Slide19","BIDMC_Slide24"
"BIDMC","BIDMC_Slide19","BIDMC_Slide2"
"BIDMC","BIDMC_Slide19","BIDMC_Slide3"
"BIDMC","BIDMC_Slide19","BIDMC_Slide4"
"BIDMC","BIDMC_Slide19","BIDMC_Slide5"
"BIDMC","BIDMC_Slide19","BIDMC_Slide6"
"BIDMC","BIDMC_Slide19","BIDMC_Slide7"
"BIDMC","BIDMC_Slide19","BIDMC_Slide8"
"BIDMC","BIDMC_Slide19","BIDMC_Slide9"
"BIDMC","BIDMC_Slide1","BIDMC_Slide20"
"BIDMC","BIDMC_Slide1","BIDMC_Slide21"
"BIDMC","BIDMC_Slide1","BIDMC_Slide22"
"BIDMC","BIDMC_Slide1","BIDMC_Slide23"
"BIDMC","BIDMC_Slide1","BIDMC_Slide24"
"BIDMC","BIDMC_Slide1","BIDMC_Slide2"
"BIDMC","BIDMC_Slide1","BIDMC_Slide3"
"BIDMC","BIDMC_Slide1","BIDMC_Slide4"
"BIDMC","BIDMC_Slide1","BIDMC_Slide5"
"BIDMC","BIDMC_Slide1","BIDMC_Slide6"
"BIDMC","BIDMC_Slide1","BIDMC_Slide7"
"BIDMC","BIDMC_Slide1","BIDMC_Slide8"
"BIDMC","BIDMC_Slide1","BIDMC_Slide9"
"BIDMC","BIDMC_Slide20","BIDMC_Slide21"
"BIDMC","BIDMC_Slide20","BIDMC_Slide22"
"BIDMC","BIDMC_Slide20","BIDMC_Slide23"
"BIDMC","BIDMC_Slide20","BIDMC_Slide24"
"BIDMC","BIDMC_Slide20","BIDMC_Slide2"
"BIDMC","BIDMC_Slide20","BIDMC_Slide3"
"BIDMC","BIDMC_Slide20","BIDMC_Slide4"
"BIDMC","BIDMC_Slide20","BIDMC_Slide5"
"BIDMC","BIDMC_Slide20","BIDMC_Slide6"
