CD11b
CD11c
CD138
CD15
CD20
CD3
CD31
CD4
CD45
CD45RA
CD56
CD68
CD8
DC-SIGN
Granzyme B
HLA-DRA
Na/K-ATPase
PD-1
Cytokeratin
IDO-1
pS6 (S235/236)
FoxP3
H3K27ac
H3K27me3
Ki-67
Pax5
Tox/Tox2
