"Source","Compare1","Compare2"
"BIDMC","BIDMC_15","BIDMC_8"
"BIDMC","BIDMC_15","BIDMC_9"
"BIDMC","BIDMC_16","BIDMC_17"
"BIDMC","BIDMC_16","BIDMC_18"
"BIDMC","BIDMC_16","BIDMC_19"
"BIDMC","BIDMC_16","BIDMC_1"
"BIDMC","BIDMC_16","BIDMC_20"
"BIDMC","BIDMC_16","BIDMC_21"
"BIDMC","BIDMC_16","BIDMC_22"
"BIDMC","BIDMC_16","BIDMC_23"
"BIDMC","BIDMC_16","BIDMC_24"
"BIDMC","BIDMC_16","BIDMC_2"
"BIDMC","BIDMC_16","BIDMC_3"
"BIDMC","BIDMC_16","BIDMC_4"
"BIDMC","BIDMC_16","BIDMC_5"
"BIDMC","BIDMC_16","BIDMC_6"
"BIDMC","BIDMC_16","BIDMC_7"
"BIDMC","BIDMC_16","BIDMC_8"
"BIDMC","BIDMC_16","BIDMC_9"
"BIDMC","BIDMC_17","BIDMC_18"
"BIDMC","BIDMC_17","BIDMC_19"
"BIDMC","BIDMC_17","BIDMC_1"
"BIDMC","BIDMC_17","BIDMC_20"
"BIDMC","BIDMC_17","BIDMC_21"
"BIDMC","BIDMC_17","BIDMC_22"
"BIDMC","BIDMC_17","BIDMC_23"
"BIDMC","BIDMC_17","BIDMC_24"
"BIDMC","BIDMC_17","BIDMC_2"
"BIDMC","BIDMC_17","BIDMC_3"
"BIDMC","BIDMC_17","BIDMC_4"
"BIDMC","BIDMC_17","BIDMC_5"
"BIDMC","BIDMC_17","BIDMC_6"
"BIDMC","BIDMC_17","BIDMC_7"
"BIDMC","BIDMC_17","BIDMC_8"
"BIDMC","BIDMC_17","BIDMC_9"
"BIDMC","BIDMC_18","BIDMC_19"
"BIDMC","BIDMC_18","BIDMC_1"
"BIDMC","BIDMC_18","BIDMC_20"
"BIDMC","BIDMC_18","BIDMC_21"
"BIDMC","BIDMC_18","BIDMC_22"
"BIDMC","BIDMC_18","BIDMC_23"
"BIDMC","BIDMC_18","BIDMC_24"
"BIDMC","BIDMC_18","BIDMC_2"
"BIDMC","BIDMC_18","BIDMC_3"
"BIDMC","BIDMC_18","BIDMC_4"
"BIDMC","BIDMC_18","BIDMC_5"
"BIDMC","BIDMC_18","BIDMC_6"
"BIDMC","BIDMC_18","BIDMC_7"
"BIDMC","BIDMC_18","BIDMC_8"
"BIDMC","BIDMC_18","BIDMC_9"
"BIDMC","BIDMC_19","BIDMC_1"
"BIDMC","BIDMC_19","BIDMC_20"
"BIDMC","BIDMC_19","BIDMC_21"
"BIDMC","BIDMC_19","BIDMC_22"
